Model,Sampling Technique,Accuracy
M1,Sampling1,0.885558583106267
M2,Sampling1,0.997275204359673
M3,Sampling1,1.0
M4,Sampling1,0.6975476839237057
M5,Sampling1,0.9673024523160763
M1,Sampling2,0.9373297002724795
M2,Sampling2,1.0
M3,Sampling2,1.0
M4,Sampling2,0.6948228882833788
M5,Sampling2,0.9809264305177112
M1,Sampling3,0.9427792915531336
M2,Sampling3,0.9945504087193461
M3,Sampling3,1.0
M4,Sampling3,0.6784741144414169
M5,Sampling3,0.9809264305177112
M1,Sampling4,0.9318801089918256
M2,Sampling4,1.0
M3,Sampling4,1.0
M4,Sampling4,0.7029972752043597
M5,Sampling4,0.9727520435967303
M1,Sampling5,0.9264305177111717
M2,Sampling5,0.9918256130790191
M3,Sampling5,1.0
M4,Sampling5,0.7111716621253406
M5,Sampling5,0.9754768392370572
